bidding_exercise,date,year,category,premium,quota,total_bids_received,number_of_successful_bids,quarter,month,day,new_date
March 2022 Second Open Bidding Exercise,2022-03-23 00:00:00,2022,cat_e,99010.0,180.0,344.0,177.0,1,3,15,2022-03-15 00:00:00
March 2022 First Open Bidding Exercise,2022-03-09 00:00:00,2022,cat_a,68501.0,531.0,962.0,526.0,1,3,1,2022-03-01 00:00:00
March 2022 First Open Bidding Exercise,2022-03-09 00:00:00,2022,cat_b,94889.0,551.0,860.0,551.0,1,3,1,2022-03-01 00:00:00
March 2022 First Open Bidding Exercise,2022-03-09 00:00:00,2022,cat_c,48889.0,76.0,199.0,67.0,1,3,1,2022-03-01 00:00:00
March 2022 First Open Bidding Exercise,2022-03-09 00:00:00,2022,cat_d,11400.0,405.0,602.0,403.0,1,3,1,2022-03-01 00:00:00
March 2022 First Open Bidding Exercise,2022-03-09 00:00:00,2022,cat_e,98890.0,190.0,318.0,190.0,1,3,1,2022-03-01 00:00:00
February 2022 Second Open Bidding Exercise,2022-02-23 00:00:00,2022,cat_a,63000.0,536.0,876.0,524.0,1,2,15,2022-02-15 00:00:00
February 2022 Second Open Bidding Exercise,2022-02-23 00:00:00,2022,cat_b,93590.0,559.0,939.0,554.0,1,2,15,2022-02-15 00:00:00
February 2022 Second Open Bidding Exercise,2022-02-23 00:00:00,2022,cat_c,46501.0,76.0,194.0,61.0,1,2,15,2022-02-15 00:00:00
February 2022 Second Open Bidding Exercise,2022-02-23 00:00:00,2022,cat_d,10589.0,420.0,521.0,416.0,1,2,15,2022-02-15 00:00:00
February 2022 Second Open Bidding Exercise,2022-02-23 00:00:00,2022,cat_e,93102.0,180.0,300.0,180.0,1,2,15,2022-02-15 00:00:00
February 2022 First Open Bidding Exercise,2022-02-09 00:00:00,2022,cat_a,60761.0,542.0,819.0,542.0,1,2,1,2022-02-01 00:00:00
February 2022 First Open Bidding Exercise,2022-02-09 00:00:00,2022,cat_b,86102.0,550.0,865.0,549.0,1,2,1,2022-02-01 00:00:00
February 2022 First Open Bidding Exercise,2022-02-09 00:00:00,2022,cat_c,44001.0,80.0,149.0,80.0,1,2,1,2022-02-01 00:00:00
February 2022 First Open Bidding Exercise,2022-02-09 00:00:00,2022,cat_d,10010.0,406.0,555.0,405.0,1,2,1,2022-02-01 00:00:00
February 2022 First Open Bidding Exercise,2022-02-09 00:00:00,2022,cat_e,87000.0,180.0,269.0,171.0,1,2,1,2022-02-01 00:00:00
January 2022 Second Open Bidding Exercise,2022-01-19 00:00:00,2022,cat_a,57898.0,531.0,711.0,526.0,1,1,15,2022-01-15 00:00:00
January 2022 Second Open Bidding Exercise,2022-01-19 00:00:00,2022,cat_b,82001.0,592.0,907.0,583.0,1,1,15,2022-01-15 00:00:00
January 2022 Second Open Bidding Exercise,2022-01-19 00:00:00,2022,cat_c,43001.0,91.0,149.0,91.0,1,1,15,2022-01-15 00:00:00
January 2022 Second Open Bidding Exercise,2022-01-19 00:00:00,2022,cat_d,10000.0,416.0,520.0,401.0,1,1,15,2022-01-15 00:00:00
January 2022 Second Open Bidding Exercise,2022-01-19 00:00:00,2022,cat_e,83911.0,145.0,226.0,145.0,1,1,15,2022-01-15 00:00:00
January 2022 First Open Bidding Exercise,2022-01-05 00:00:00,2022,cat_a,57599.0,543.0,760.0,533.0,1,1,1,2022-01-01 00:00:00
January 2022 First Open Bidding Exercise,2022-01-05 00:00:00,2022,cat_b,77700.0,587.0,712.0,586.0,1,1,1,2022-01-01 00:00:00
January 2022 First Open Bidding Exercise,2022-01-05 00:00:00,2022,cat_c,42200.0,90.0,198.0,87.0,1,1,1,2022-01-01 00:00:00
January 2022 First Open Bidding Exercise,2022-01-05 00:00:00,2022,cat_d,9689.0,431.0,573.0,429.0,1,1,1,2022-01-01 00:00:00
January 2022 First Open Bidding Exercise,2022-01-05 00:00:00,2022,cat_e,82501.0,149.0,193.0,149.0,1,1,1,2022-01-01 00:00:00
December 2021 Second Open Bidding Exercise,2021-12-22 00:00:00,2021,cat_a,58801.0,534.0,740.0,534.0,4,12,15,2021-12-15 00:00:00
December 2021 Second Open Bidding Exercise,2021-12-22 00:00:00,2021,cat_b,80989.0,595.0,829.0,590.0,4,12,15,2021-12-15 00:00:00
December 2021 Second Open Bidding Exercise,2021-12-22 00:00:00,2021,cat_c,44000.0,90.0,150.0,89.0,4,12,15,2021-12-15 00:00:00
December 2021 Second Open Bidding Exercise,2021-12-22 00:00:00,2021,cat_d,9601.0,426.0,562.0,422.0,4,12,15,2021-12-15 00:00:00
December 2021 Second Open Bidding Exercise,2021-12-22 00:00:00,2021,cat_e,83889.0,177.0,241.0,177.0,4,12,15,2021-12-15 00:00:00
December 2021 First Open Bidding Exercise,2021-12-08 00:00:00,2021,cat_a,57010.0,536.0,771.0,525.0,4,12,1,2021-12-01 00:00:00
December 2021 First Open Bidding Exercise,2021-12-08 00:00:00,2021,cat_b,80401.0,593.0,822.0,593.0,4,12,1,2021-12-01 00:00:00
December 2021 First Open Bidding Exercise,2021-12-08 00:00:00,2021,cat_c,45000.0,93.0,147.0,93.0,4,12,1,2021-12-01 00:00:00
December 2021 First Open Bidding Exercise,2021-12-08 00:00:00,2021,cat_d,9401.0,420.0,584.0,400.0,4,12,1,2021-12-01 00:00:00
December 2021 First Open Bidding Exercise,2021-12-08 00:00:00,2021,cat_e,85000.0,149.0,245.0,145.0,4,12,1,2021-12-01 00:00:00
November 2021 Second Open Bidding Exercise,2021-11-17 00:00:00,2021,cat_a,55001.0,537.0,706.0,535.0,4,11,15,2021-11-15 00:00:00
November 2021 Second Open Bidding Exercise,2021-11-17 00:00:00,2021,cat_b,79601.0,594.0,797.0,585.0,4,11,15,2021-11-15 00:00:00
November 2021 Second Open Bidding Exercise,2021-11-17 00:00:00,2021,cat_c,43502.0,91.0,164.0,91.0,4,11,15,2021-11-15 00:00:00
November 2021 Second Open Bidding Exercise,2021-11-17 00:00:00,2021,cat_d,9381.0,412.0,557.0,397.0,4,11,15,2021-11-15 00:00:00
November 2021 Second Open Bidding Exercise,2021-11-17 00:00:00,2021,cat_e,86001.0,164.0,253.0,133.0,4,11,15,2021-11-15 00:00:00
November 2021 First Open Bidding Exercise,2021-11-03 00:00:00,2021,cat_a,53709.0,536.0,834.0,531.0,4,11,1,2021-11-01 00:00:00
November 2021 First Open Bidding Exercise,2021-11-03 00:00:00,2021,cat_b,82801.0,587.0,839.0,581.0,4,11,1,2021-11-01 00:00:00
November 2021 First Open Bidding Exercise,2021-11-03 00:00:00,2021,cat_c,42001.0,92.0,173.0,89.0,4,11,1,2021-11-01 00:00:00
November 2021 First Open Bidding Exercise,2021-11-03 00:00:00,2021,cat_d,9381.0,417.0,543.0,409.0,4,11,1,2021-11-01 00:00:00
November 2021 First Open Bidding Exercise,2021-11-03 00:00:00,2021,cat_e,88000.0,159.0,257.0,155.0,4,11,1,2021-11-01 00:00:00
October 2021 Second Open Bidding Exercise,2021-10-20 00:00:00,2021,cat_a,52709.0,811.0,1304.0,806.0,4,10,15,2021-10-15 00:00:00
October 2021 Second Open Bidding Exercise,2021-10-20 00:00:00,2021,cat_b,80210.0,774.0,1240.0,767.0,4,10,15,2021-10-15 00:00:00
October 2021 Second Open Bidding Exercise,2021-10-20 00:00:00,2021,cat_c,40501.0,126.0,252.0,125.0,4,10,15,2021-10-15 00:00:00
October 2021 Second Open Bidding Exercise,2021-10-20 00:00:00,2021,cat_d,9310.0,450.0,597.0,449.0,4,10,15,2021-10-15 00:00:00
October 2021 Second Open Bidding Exercise,2021-10-20 00:00:00,2021,cat_e,85000.0,210.0,391.0,191.0,4,10,15,2021-10-15 00:00:00
October 2021 First Open Bidding Exercise,2021-10-06 00:00:00,2021,cat_a,47001.0,816.0,1077.0,812.0,4,10,1,2021-10-01 00:00:00
October 2021 First Open Bidding Exercise,2021-10-06 00:00:00,2021,cat_b,70200.0,774.0,1130.0,774.0,4,10,1,2021-10-01 00:00:00
October 2021 First Open Bidding Exercise,2021-10-06 00:00:00,2021,cat_c,38890.0,125.0,233.0,123.0,4,10,1,2021-10-01 00:00:00
October 2021 First Open Bidding Exercise,2021-10-06 00:00:00,2021,cat_d,9052.0,444.0,633.0,438.0,4,10,1,2021-10-01 00:00:00
October 2021 First Open Bidding Exercise,2021-10-06 00:00:00,2021,cat_e,72756.0,214.0,442.0,200.0,4,10,1,2021-10-01 00:00:00
September 2021 Second Open Bidding Exercise,2021-09-22 00:00:00,2021,cat_a,48000.0,803.0,1040.0,795.0,3,9,15,2021-09-15 00:00:00
September 2021 Second Open Bidding Exercise,2021-09-22 00:00:00,2021,cat_b,68310.0,772.0,1189.0,768.0,3,9,15,2021-09-15 00:00:00
September 2021 Second Open Bidding Exercise,2021-09-22 00:00:00,2021,cat_c,39000.0,120.0,203.0,110.0,3,9,15,2021-09-15 00:00:00
September 2021 Second Open Bidding Exercise,2021-09-22 00:00:00,2021,cat_d,9089.0,449.0,658.0,443.0,3,9,15,2021-09-15 00:00:00
September 2021 Second Open Bidding Exercise,2021-09-22 00:00:00,2021,cat_e,70002.0,198.0,400.0,186.0,3,9,15,2021-09-15 00:00:00
September 2021 First Open Bidding Exercise,2021-09-08 00:00:00,2021,cat_a,47000.0,804.0,1124.0,790.0,3,9,1,2021-09-01 00:00:00
September 2021 First Open Bidding Exercise,2021-09-08 00:00:00,2021,cat_b,62600.0,791.0,1080.0,788.0,3,9,1,2021-09-01 00:00:00
September 2021 First Open Bidding Exercise,2021-09-08 00:00:00,2021,cat_c,40001.0,122.0,211.0,113.0,3,9,1,2021-09-01 00:00:00
September 2021 First Open Bidding Exercise,2021-09-08 00:00:00,2021,cat_d,9689.0,445.0,562.0,445.0,3,9,1,2021-09-01 00:00:00
September 2021 First Open Bidding Exercise,2021-09-08 00:00:00,2021,cat_e,64700.0,206.0,319.0,190.0,3,9,1,2021-09-01 00:00:00
August 2021 Second Open Bidding Exercise,2021-08-18 00:00:00,2021,cat_a,46689.0,806.0,1127.0,806.0,3,8,15,2021-08-15 00:00:00
August 2021 Second Open Bidding Exercise,2021-08-18 00:00:00,2021,cat_b,61001.0,794.0,1065.0,793.0,3,8,15,2021-08-15 00:00:00
August 2021 Second Open Bidding Exercise,2021-08-18 00:00:00,2021,cat_c,40010.0,118.0,220.0,113.0,3,8,15,2021-08-15 00:00:00
August 2021 Second Open Bidding Exercise,2021-08-18 00:00:00,2021,cat_d,9500.0,451.0,635.0,447.0,3,8,15,2021-08-15 00:00:00
August 2021 Second Open Bidding Exercise,2021-08-18 00:00:00,2021,cat_e,64901.0,198.0,408.0,197.0,3,8,15,2021-08-15 00:00:00
August 2021 First Open Bidding Exercise,2021-08-04 00:00:00,2021,cat_a,45189.0,805.0,1021.0,804.0,3,8,1,2021-08-01 00:00:00
August 2021 First Open Bidding Exercise,2021-08-04 00:00:00,2021,cat_b,56001.0,771.0,980.0,751.0,3,8,1,2021-08-01 00:00:00
August 2021 First Open Bidding Exercise,2021-08-04 00:00:00,2021,cat_c,42589.0,118.0,233.0,111.0,3,8,1,2021-08-01 00:00:00
August 2021 First Open Bidding Exercise,2021-08-04 00:00:00,2021,cat_d,8899.0,449.0,667.0,449.0,3,8,1,2021-08-01 00:00:00
August 2021 First Open Bidding Exercise,2021-08-04 00:00:00,2021,cat_e,59599.0,199.0,288.0,190.0,3,8,1,2021-08-01 00:00:00
July 2021 Second Open Bidding Exercise,2021-07-22 00:00:00,2021,cat_a,47010.0,836.0,1240.0,832.0,3,7,15,2021-07-15 00:00:00
July 2021 Second Open Bidding Exercise,2021-07-22 00:00:00,2021,cat_b,59501.0,819.0,1107.0,796.0,3,7,15,2021-07-15 00:00:00
July 2021 Second Open Bidding Exercise,2021-07-22 00:00:00,2021,cat_c,39523.0,166.0,337.0,163.0,3,7,15,2021-07-15 00:00:00
July 2021 Second Open Bidding Exercise,2021-07-22 00:00:00,2021,cat_d,8689.0,655.0,863.0,649.0,3,7,15,2021-07-15 00:00:00
July 2021 Second Open Bidding Exercise,2021-07-22 00:00:00,2021,cat_e,60001.0,267.0,408.0,266.0,3,7,15,2021-07-15 00:00:00
July 2021 First Open Bidding Exercise,2021-07-07 00:00:00,2021,cat_a,45001.0,867.0,1149.0,864.0,3,7,1,2021-07-01 00:00:00
July 2021 First Open Bidding Exercise,2021-07-07 00:00:00,2021,cat_b,56100.0,840.0,1087.0,840.0,3,7,1,2021-07-01 00:00:00
July 2021 First Open Bidding Exercise,2021-07-07 00:00:00,2021,cat_c,38900.0,162.0,340.0,159.0,3,7,1,2021-07-01 00:00:00
July 2021 First Open Bidding Exercise,2021-07-07 00:00:00,2021,cat_d,8502.0,616.0,760.0,612.0,3,7,1,2021-07-01 00:00:00
July 2021 First Open Bidding Exercise,2021-07-07 00:00:00,2021,cat_e,57700.0,259.0,416.0,257.0,3,7,1,2021-07-01 00:00:00
June 2021 Second Open Bidding Exercise,2021-06-23 00:00:00,2021,cat_a,47821.0,830.0,1178.0,823.0,2,6,15,2021-06-15 00:00:00
June 2021 Second Open Bidding Exercise,2021-06-23 00:00:00,2021,cat_b,56032.0,809.0,983.0,799.0,2,6,15,2021-06-15 00:00:00
June 2021 Second Open Bidding Exercise,2021-06-23 00:00:00,2021,cat_c,37000.0,238.0,478.0,229.0,2,6,15,2021-06-15 00:00:00
June 2021 Second Open Bidding Exercise,2021-06-23 00:00:00,2021,cat_d,8501.0,618.0,864.0,577.0,2,6,15,2021-06-15 00:00:00
June 2021 Second Open Bidding Exercise,2021-06-23 00:00:00,2021,cat_e,58001.0,265.0,519.0,257.0,2,6,15,2021-06-15 00:00:00
June 2021 First Open Bidding Exercise,2021-06-09 00:00:00,2021,cat_a,48510.0,858.0,1439.0,820.0,2,6,1,2021-06-01 00:00:00
June 2021 First Open Bidding Exercise,2021-06-09 00:00:00,2021,cat_b,60109.0,815.0,1107.0,784.0,2,6,1,2021-06-01 00:00:00
June 2021 First Open Bidding Exercise,2021-06-09 00:00:00,2021,cat_c,37002.0,195.0,413.0,190.0,2,6,1,2021-06-01 00:00:00
June 2021 First Open Bidding Exercise,2021-06-09 00:00:00,2021,cat_d,8703.0,626.0,776.0,624.0,2,6,1,2021-06-01 00:00:00
June 2021 First Open Bidding Exercise,2021-06-09 00:00:00,2021,cat_e,61112.0,259.0,331.0,259.0,2,6,1,2021-06-01 00:00:00
May 2021 Second Open Bidding Exercise,2021-05-19 00:00:00,2021,cat_a,41801.0,835.0,1209.0,834.0,2,5,15,2021-05-15 00:00:00
May 2021 Second Open Bidding Exercise,2021-05-19 00:00:00,2021,cat_b,58089.0,817.0,1089.0,817.0,2,5,15,2021-05-15 00:00:00
May 2021 Second Open Bidding Exercise,2021-05-19 00:00:00,2021,cat_c,41701.0,164.0,315.0,83.0,2,5,15,2021-05-15 00:00:00
May 2021 Second Open Bidding Exercise,2021-05-19 00:00:00,2021,cat_d,8701.0,628.0,904.0,625.0,2,5,15,2021-05-15 00:00:00
May 2021 Second Open Bidding Exercise,2021-05-19 00:00:00,2021,cat_e,62000.0,266.0,400.0,260.0,2,5,15,2021-05-15 00:00:00
May 2021 First Open Bidding Exercise,2021-05-05 00:00:00,2021,cat_a,48002.0,832.0,1100.0,803.0,2,5,1,2021-05-01 00:00:00
May 2021 First Open Bidding Exercise,2021-05-05 00:00:00,2021,cat_b,60001.0,819.0,1244.0,813.0,2,5,1,2021-05-01 00:00:00
May 2021 First Open Bidding Exercise,2021-05-05 00:00:00,2021,cat_c,43001.0,157.0,261.0,119.0,2,5,1,2021-05-01 00:00:00
May 2021 First Open Bidding Exercise,2021-05-05 00:00:00,2021,cat_d,8011.0,650.0,901.0,639.0,2,5,1,2021-05-01 00:00:00
May 2021 First Open Bidding Exercise,2021-05-05 00:00:00,2021,cat_e,63002.0,268.0,387.0,268.0,2,5,1,2021-05-01 00:00:00
April 2021 Second Open Bidding Exercise,2021-04-21 00:00:00,2021,cat_a,49640.0,890.0,1290.0,883.0,2,4,15,2021-04-15 00:00:00
April 2021 Second Open Bidding Exercise,2021-04-21 00:00:00,2021,cat_b,61190.0,956.0,1585.0,949.0,2,4,15,2021-04-15 00:00:00
April 2021 Second Open Bidding Exercise,2021-04-21 00:00:00,2021,cat_c,44001.0,262.0,441.0,256.0,2,4,15,2021-04-15 00:00:00
April 2021 Second Open Bidding Exercise,2021-04-21 00:00:00,2021,cat_d,8000.0,546.0,734.0,532.0,2,4,15,2021-04-15 00:00:00
April 2021 Second Open Bidding Exercise,2021-04-21 00:00:00,2021,cat_e,62100.0,303.0,633.0,295.0,2,4,15,2021-04-15 00:00:00
April 2021 First Open Bidding Exercise,2021-04-07 00:00:00,2021,cat_a,45600.0,883.0,1212.0,880.0,2,4,1,2021-04-01 00:00:00
April 2021 First Open Bidding Exercise,2021-04-07 00:00:00,2021,cat_b,52309.0,958.0,1524.0,949.0,2,4,1,2021-04-01 00:00:00
April 2021 First Open Bidding Exercise,2021-04-07 00:00:00,2021,cat_c,36134.0,263.0,488.0,263.0,2,4,1,2021-04-01 00:00:00
April 2021 First Open Bidding Exercise,2021-04-07 00:00:00,2021,cat_d,8000.0,560.0,735.0,524.0,2,4,1,2021-04-01 00:00:00
April 2021 First Open Bidding Exercise,2021-04-07 00:00:00,2021,cat_e,52200.0,296.0,635.0,286.0,2,4,1,2021-04-01 00:00:00
March 2021 Second Open Bidding Exercise,2021-03-17 00:00:00,2021,cat_a,44589.0,886.0,1186.0,879.0,1,3,15,2021-03-15 00:00:00
March 2021 Second Open Bidding Exercise,2021-03-17 00:00:00,2021,cat_b,47001.0,946.0,1222.0,932.0,1,3,15,2021-03-15 00:00:00
March 2021 Second Open Bidding Exercise,2021-03-17 00:00:00,2021,cat_c,39589.0,292.0,507.0,286.0,1,3,15,2021-03-15 00:00:00
March 2021 Second Open Bidding Exercise,2021-03-17 00:00:00,2021,cat_d,7791.0,542.0,700.0,538.0,1,3,15,2021-03-15 00:00:00
March 2021 Second Open Bidding Exercise,2021-03-17 00:00:00,2021,cat_e,47806.0,298.0,430.0,291.0,1,3,15,2021-03-15 00:00:00
March 2021 First Open Bidding Exercise,2021-03-03 00:00:00,2021,cat_a,41996.0,887.0,1175.0,887.0,1,3,1,2021-03-01 00:00:00
March 2021 First Open Bidding Exercise,2021-03-03 00:00:00,2021,cat_b,45001.0,942.0,1121.0,926.0,1,3,1,2021-03-01 00:00:00
March 2021 First Open Bidding Exercise,2021-03-03 00:00:00,2021,cat_c,37513.0,255.0,480.0,248.0,1,3,1,2021-03-01 00:00:00
March 2021 First Open Bidding Exercise,2021-03-03 00:00:00,2021,cat_d,7752.0,542.0,707.0,524.0,1,3,1,2021-03-01 00:00:00
March 2021 First Open Bidding Exercise,2021-03-03 00:00:00,2021,cat_e,47001.0,296.0,450.0,296.0,1,3,1,2021-03-01 00:00:00
February 2021 Second Open Bidding Exercise,2021-02-17 00:00:00,2021,cat_a,41001.0,903.0,1226.0,900.0,1,2,15,2021-02-15 00:00:00
February 2021 Second Open Bidding Exercise,2021-02-17 00:00:00,2021,cat_b,46002.0,942.0,1168.0,938.0,1,2,15,2021-02-15 00:00:00
February 2021 Second Open Bidding Exercise,2021-02-17 00:00:00,2021,cat_c,40890.0,259.0,424.0,223.0,1,2,15,2021-02-15 00:00:00
February 2021 Second Open Bidding Exercise,2021-02-17 00:00:00,2021,cat_d,7500.0,554.0,715.0,554.0,1,2,15,2021-02-15 00:00:00
February 2021 Second Open Bidding Exercise,2021-02-17 00:00:00,2021,cat_e,47506.0,304.0,503.0,302.0,1,2,15,2021-02-15 00:00:00
February 2021 First Open Bidding Exercise,2021-02-03 00:00:00,2021,cat_a,42000.0,885.0,1098.0,881.0,1,2,1,2021-02-01 00:00:00
February 2021 First Open Bidding Exercise,2021-02-03 00:00:00,2021,cat_b,46790.0,943.0,1107.0,943.0,1,2,1,2021-02-01 00:00:00
February 2021 First Open Bidding Exercise,2021-02-03 00:00:00,2021,cat_c,45001.0,276.0,510.0,276.0,1,2,1,2021-02-01 00:00:00
February 2021 First Open Bidding Exercise,2021-02-03 00:00:00,2021,cat_d,7506.0,572.0,705.0,572.0,1,2,1,2021-02-01 00:00:00
February 2021 First Open Bidding Exercise,2021-02-03 00:00:00,2021,cat_e,49778.0,300.0,435.0,300.0,1,2,1,2021-02-01 00:00:00
January 2021 Second Open Bidding Exercise,2021-01-20 00:00:00,2021,cat_a,40609.0,963.0,1280.0,962.0,1,1,15,2021-01-15 00:00:00
January 2021 Second Open Bidding Exercise,2021-01-20 00:00:00,2021,cat_b,49001.0,1023.0,1396.0,1021.0,1,1,15,2021-01-15 00:00:00
January 2021 Second Open Bidding Exercise,2021-01-20 00:00:00,2021,cat_c,35900.0,372.0,679.0,352.0,1,1,15,2021-01-15 00:00:00
January 2021 Second Open Bidding Exercise,2021-01-20 00:00:00,2021,cat_d,7501.0,529.0,692.0,498.0,1,1,15,2021-01-15 00:00:00
January 2021 Second Open Bidding Exercise,2021-01-20 00:00:00,2021,cat_e,49489.0,467.0,758.0,463.0,1,1,15,2021-01-15 00:00:00
January 2021 First Open Bidding Exercise,2021-01-06 00:00:00,2021,cat_a,40609.0,963.0,1280.0,962.0,1,1,1,2021-01-01 00:00:00
January 2021 First Open Bidding Exercise,2021-01-06 00:00:00,2021,cat_b,49001.0,1023.0,1396.0,1021.0,1,1,1,2021-01-01 00:00:00
January 2021 First Open Bidding Exercise,2021-01-06 00:00:00,2021,cat_c,35900.0,372.0,679.0,352.0,1,1,1,2021-01-01 00:00:00
January 2021 First Open Bidding Exercise,2021-01-06 00:00:00,2021,cat_d,7501.0,529.0,692.0,498.0,1,1,1,2021-01-01 00:00:00
January 2021 First Open Bidding Exercise,2021-01-06 00:00:00,2021,cat_e,49489.0,467.0,758.0,463.0,1,1,1,2021-01-01 00:00:00
December 2020 Second Open Bidding Exercise,2020-12-23 00:00:00,2020,cat_a,40556.0,969.0,1403.0,966.0,4,12,15,2020-12-15 00:00:00
December 2020 Second Open Bidding Exercise,2020-12-23 00:00:00,2020,cat_b,49300.0,1009.0,1631.0,998.0,4,12,15,2020-12-15 00:00:00
December 2020 Second Open Bidding Exercise,2020-12-23 00:00:00,2020,cat_c,35201.0,369.0,640.0,355.0,4,12,15,2020-12-15 00:00:00
December 2020 Second Open Bidding Exercise,2020-12-23 00:00:00,2020,cat_d,7689.0,530.0,710.0,507.0,4,12,15,2020-12-15 00:00:00
December 2020 Second Open Bidding Exercise,2020-12-23 00:00:00,2020,cat_e,49500.0,471.0,688.0,469.0,4,12,15,2020-12-15 00:00:00
December 2020 First Open Bidding Exercise,2020-12-09 00:00:00,2020,cat_a,40714.0,978.0,1620.0,978.0,4,12,1,2020-12-01 00:00:00
December 2020 First Open Bidding Exercise,2020-12-09 00:00:00,2020,cat_b,45012.0,1035.0,1712.0,1019.0,4,12,1,2020-12-01 00:00:00
December 2020 First Open Bidding Exercise,2020-12-09 00:00:00,2020,cat_c,32889.0,368.0,599.0,363.0,4,12,1,2020-12-01 00:00:00
December 2020 First Open Bidding Exercise,2020-12-09 00:00:00,2020,cat_d,7670.0,526.0,767.0,522.0,4,12,1,2020-12-01 00:00:00
December 2020 First Open Bidding Exercise,2020-12-09 00:00:00,2020,cat_e,45510.0,464.0,722.0,461.0,4,12,1,2020-12-01 00:00:00
November 2020 Second Open Bidding Exercise,2020-11-18 00:00:00,2020,cat_a,37690.0,972.0,1361.0,966.0,4,11,15,2020-11-15 00:00:00
November 2020 Second Open Bidding Exercise,2020-11-18 00:00:00,2020,cat_b,41101.0,1007.0,1559.0,1006.0,4,11,15,2020-11-15 00:00:00
November 2020 Second Open Bidding Exercise,2020-11-18 00:00:00,2020,cat_c,30334.0,369.0,597.0,367.0,4,11,15,2020-11-15 00:00:00
November 2020 Second Open Bidding Exercise,2020-11-18 00:00:00,2020,cat_d,7300.0,537.0,679.0,532.0,4,11,15,2020-11-15 00:00:00
November 2020 Second Open Bidding Exercise,2020-11-18 00:00:00,2020,cat_e,41503.0,520.0,803.0,512.0,4,11,15,2020-11-15 00:00:00
November 2020 First Open Bidding Exercise,2020-11-04 00:00:00,2020,cat_a,35990.0,967.0,1262.0,952.0,4,11,1,2020-11-01 00:00:00
November 2020 First Open Bidding Exercise,2020-11-04 00:00:00,2020,cat_b,39000.0,1013.0,1415.0,985.0,4,11,1,2020-11-01 00:00:00
November 2020 First Open Bidding Exercise,2020-11-04 00:00:00,2020,cat_c,31502.0,370.0,558.0,370.0,4,11,1,2020-11-01 00:00:00
November 2020 First Open Bidding Exercise,2020-11-04 00:00:00,2020,cat_d,7251.0,533.0,727.0,532.0,4,11,1,2020-11-01 00:00:00
November 2020 First Open Bidding Exercise,2020-11-04 00:00:00,2020,cat_e,39500.0,464.0,683.0,463.0,4,11,1,2020-11-01 00:00:00
October 2020 Second Open Bidding Exercise,2020-10-21 00:00:00,2020,cat_a,37334.0,916.0,1323.0,907.0,4,10,15,2020-10-15 00:00:00
October 2020 Second Open Bidding Exercise,2020-10-21 00:00:00,2020,cat_b,40990.0,793.0,1272.0,793.0,4,10,15,2020-10-15 00:00:00
October 2020 Second Open Bidding Exercise,2020-10-21 00:00:00,2020,cat_c,33778.0,316.0,538.0,315.0,4,10,15,2020-10-15 00:00:00
October 2020 Second Open Bidding Exercise,2020-10-21 00:00:00,2020,cat_d,7300.0,423.0,560.0,410.0,4,10,15,2020-10-15 00:00:00
October 2020 Second Open Bidding Exercise,2020-10-21 00:00:00,2020,cat_e,39889.0,430.0,672.0,373.0,4,10,15,2020-10-15 00:00:00
