bidding_exercise,date,year,category,premium,quota,total_bids_received,number_of_successful_bids,quarter,month,day,new_date,total_motor_veh,cat_a,month_lag,year_lag,total_motor_veh_dereg,cat_a_dereg,gdp,quarter_lag,year_lag2,quarter_lag2,total_pop,pop_density,total_pop_growth,average_income,median_income,average_employed_income,median_employed_income,close,air_departures,birth_rate
June 2021 First Open Bidding Exercise,2021-06-09 00:00:00,2021,cat_a,48510.0,858.0,1439.0,820.0,2,6,1,2021-06-01 00:00:00,982459.0,320236.0,7.0,2021.0,5344.0,1864.0,23.1,3.0,2021.0,4.0,5453566.0,7485.0,-4.1,9827.0,7261.0,11137.0,8421.0,3187.23,99250.0,8.6
May 2021 Second Open Bidding Exercise,2021-05-19 00:00:00,2021,cat_a,41801.0,835.0,1209.0,834.0,2,5,15,2021-05-15 00:00:00,981549.0,320168.0,6.0,2021.0,5457.0,1872.0,23.1,3.0,2021.0,4.0,5453566.0,7485.0,-4.1,9827.0,7261.0,11137.0,8421.0,,95254.0,8.6
May 2021 First Open Bidding Exercise,2021-05-05 00:00:00,2021,cat_a,48002.0,832.0,1100.0,803.0,2,5,1,2021-05-01 00:00:00,981549.0,320168.0,6.0,2021.0,5457.0,1872.0,23.1,3.0,2021.0,4.0,5453566.0,7485.0,-4.1,9827.0,7261.0,11137.0,8421.0,,95254.0,8.6
April 2021 Second Open Bidding Exercise,2021-04-21 00:00:00,2021,cat_a,49640.0,890.0,1290.0,883.0,2,4,15,2021-04-15 00:00:00,981553.0,320521.0,5.0,2021.0,4926.0,1607.0,23.1,3.0,2021.0,4.0,5453566.0,7485.0,-4.1,9827.0,7261.0,11137.0,8421.0,3184.77,86579.0,8.6
April 2021 First Open Bidding Exercise,2021-04-07 00:00:00,2021,cat_a,45600.0,883.0,1212.0,880.0,2,4,1,2021-04-01 00:00:00,981553.0,320521.0,5.0,2021.0,4926.0,1607.0,23.1,3.0,2021.0,4.0,5453566.0,7485.0,-4.1,9827.0,7261.0,11137.0,8421.0,3181.68,86579.0,8.6
March 2021 Second Open Bidding Exercise,2021-03-17 00:00:00,2021,cat_a,44589.0,886.0,1186.0,879.0,1,3,15,2021-03-15 00:00:00,980293.0,320445.0,4.0,2021.0,6055.0,1918.0,2.5,2.0,2021.0,3.0,5453566.0,7485.0,-4.1,9827.0,7261.0,11137.0,8421.0,3106.0,83568.0,8.6
March 2021 First Open Bidding Exercise,2021-03-03 00:00:00,2021,cat_a,41996.0,887.0,1175.0,887.0,1,3,1,2021-03-01 00:00:00,980293.0,320445.0,4.0,2021.0,6055.0,1918.0,2.5,2.0,2021.0,3.0,5453566.0,7485.0,-4.1,9827.0,7261.0,11137.0,8421.0,2973.0,83568.0,8.6
February 2021 Second Open Bidding Exercise,2021-02-17 00:00:00,2021,cat_a,41001.0,903.0,1226.0,900.0,1,2,15,2021-02-15 00:00:00,978479.0,320475.0,3.0,2021.0,4315.0,1268.0,2.5,2.0,2021.0,3.0,5453566.0,7485.0,-4.1,9827.0,7261.0,11137.0,8421.0,2931.52,58669.0,8.6
February 2021 First Open Bidding Exercise,2021-02-03 00:00:00,2021,cat_a,42000.0,885.0,1098.0,881.0,1,2,1,2021-02-01 00:00:00,978479.0,320475.0,3.0,2021.0,4315.0,1268.0,2.5,2.0,2021.0,3.0,5453566.0,7485.0,-4.1,9827.0,7261.0,11137.0,8421.0,2896.32,58669.0,8.6
January 2021 Second Open Bidding Exercise,2021-01-20 00:00:00,2021,cat_a,40609.0,963.0,1280.0,962.0,1,1,15,2021-01-15 00:00:00,977157.0,320206.0,2.0,2021.0,4706.0,1383.0,2.5,2.0,2021.0,3.0,5453566.0,7485.0,-4.1,9827.0,7261.0,11137.0,8421.0,3004.87,71487.0,8.6
January 2021 First Open Bidding Exercise,2021-01-06 00:00:00,2021,cat_a,40609.0,963.0,1280.0,962.0,1,1,1,2021-01-01 00:00:00,977157.0,320206.0,2.0,2021.0,4706.0,1383.0,2.5,2.0,2021.0,3.0,5453566.0,7485.0,-4.1,9827.0,7261.0,11137.0,8421.0,,71487.0,8.6
December 2020 Second Open Bidding Exercise,2020-12-23 00:00:00,2020,cat_a,40556.0,969.0,1403.0,966.0,4,12,15,2020-12-15 00:00:00,973990.0,319137.0,1.0,2021.0,5021.0,1425.0,-4.4,1.0,2021.0,2.0,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,2856.72,76350.0,8.5
December 2020 First Open Bidding Exercise,2020-12-09 00:00:00,2020,cat_a,40714.0,978.0,1620.0,978.0,4,12,1,2020-12-01 00:00:00,973990.0,319137.0,1.0,2021.0,5021.0,1425.0,-4.4,1.0,2021.0,2.0,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,2814.12,76350.0,8.5
November 2020 Second Open Bidding Exercise,2020-11-18 00:00:00,2020,cat_a,37690.0,972.0,1361.0,966.0,4,11,15,2020-11-15 00:00:00,972859.0,319271.0,12.0,2020.0,4972.0,1506.0,-4.4,1.0,2021.0,2.0,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,,60232.0,8.5
November 2020 First Open Bidding Exercise,2020-11-04 00:00:00,2020,cat_a,35990.0,967.0,1262.0,952.0,4,11,1,2020-11-01 00:00:00,972859.0,319271.0,12.0,2020.0,4972.0,1506.0,-4.4,1.0,2021.0,2.0,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,,60232.0,8.5
October 2020 Second Open Bidding Exercise,2020-10-21 00:00:00,2020,cat_a,37334.0,916.0,1323.0,907.0,4,10,15,2020-10-15 00:00:00,971021.0,318958.0,11.0,2020.0,5027.0,1518.0,-4.4,1.0,2021.0,2.0,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,2523.62,56006.0,8.5
October 2020 First Open Bidding Exercise,2020-10-07 00:00:00,2020,cat_a,36534.0,912.0,1272.0,907.0,4,10,1,2020-10-01 00:00:00,971021.0,318958.0,11.0,2020.0,5027.0,1518.0,-4.4,1.0,2021.0,2.0,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,2500.74,56006.0,8.5
September 2020 Second Open Bidding Exercise,2020-09-23 00:00:00,2020,cat_a,38504.0,1034.0,1540.0,1031.0,3,9,15,2020-09-15 00:00:00,969189.0,318385.0,10.0,2020.0,5264.0,1537.0,-8.5,4.0,2021.0,1.0,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,2485.83,54703.0,8.5
September 2020 First Open Bidding Exercise,2020-09-09 00:00:00,2020,cat_a,37766.0,1035.0,1737.0,1035.0,3,9,1,2020-09-01 00:00:00,969189.0,318385.0,10.0,2020.0,5264.0,1537.0,-8.5,4.0,2021.0,1.0,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,2538.55,54703.0,8.5
August 2020 Second Open Bidding Exercise,2020-08-19 00:00:00,2020,cat_a,35710.0,1034.0,2099.0,1019.0,3,8,15,2020-08-15 00:00:00,967575.0,317944.0,9.0,2020.0,5617.0,1750.0,-8.5,4.0,2021.0,1.0,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,,51371.0,8.5
August 2020 First Open Bidding Exercise,2020-08-05 00:00:00,2020,cat_a,33000.0,1022.0,2047.0,1007.0,3,8,1,2020-08-01 00:00:00,967575.0,317944.0,9.0,2020.0,5617.0,1750.0,-8.5,4.0,2021.0,1.0,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,,51371.0,8.5
July 2020 Second Open Bidding Exercise,2020-07-22 00:00:00,2020,cat_a,32699.0,1304.0,2485.0,1290.0,3,7,15,2020-07-15 00:00:00,965705.0,317417.0,8.0,2020.0,5379.0,1697.0,-8.5,4.0,2021.0,1.0,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,2648.9,51415.0,8.5
July 2020 First Open Bidding Exercise,2020-07-08 00:00:00,2020,cat_a,33520.0,1289.0,3061.0,1286.0,3,7,1,2020-07-01 00:00:00,965705.0,317417.0,8.0,2020.0,5379.0,1697.0,-8.5,4.0,2021.0,1.0,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,2610.17,51415.0,8.5
March 2020 Second Open Bidding Exercise,2020-03-18 00:00:00,2020,cat_a,31210.0,982.0,1421.0,962.0,1,3,15,2020-03-15 00:00:00,973761.0,321127.0,4.0,2020.0,7976.0,2397.0,-0.3,2.0,2020.0,3.0,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,,791383.0,8.5
March 2020 First Open Bidding Exercise,2020-03-04 00:00:00,2020,cat_a,32699.0,978.0,1436.0,973.0,1,3,1,2020-03-01 00:00:00,973761.0,321127.0,4.0,2020.0,7976.0,2397.0,-0.3,2.0,2020.0,3.0,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,,791383.0,8.5
February 2020 Second Open Bidding Exercise,2020-02-19 00:00:00,2020,cat_a,32999.0,982.0,1564.0,973.0,1,2,15,2020-02-15 00:00:00,974205.0,321274.0,3.0,2020.0,6240.0,1778.0,-0.3,2.0,2020.0,3.0,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,,1718033.0,8.5
February 2020 First Open Bidding Exercise,2020-02-05 00:00:00,2020,cat_a,30010.0,982.0,1204.0,977.0,1,2,1,2020-02-01 00:00:00,974205.0,321274.0,3.0,2020.0,6240.0,1778.0,-0.3,2.0,2020.0,3.0,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,,1718033.0,8.5
January 2020 Second Open Bidding Exercise,2020-01-22 00:00:00,2020,cat_a,35010.0,1034.0,1390.0,1025.0,1,1,15,2020-01-15 00:00:00,973534.0,321024.0,2.0,2020.0,6749.0,2239.0,-0.3,2.0,2020.0,3.0,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,3256.98,2893053.0,8.5
January 2020 First Open Bidding Exercise,2020-01-08 00:00:00,2020,cat_a,35320.0,1035.0,1450.0,1026.0,1,1,1,2020-01-01 00:00:00,973534.0,321024.0,2.0,2020.0,6749.0,2239.0,-0.3,2.0,2020.0,3.0,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,,2893053.0,8.5
December 2019 Second Open Bidding Exercise,2019-12-18 00:00:00,2019,cat_a,32889.0,1029.0,1256.0,1013.0,4,12,15,2019-12-15 00:00:00,973101.0,321103.0,1.0,2020.0,7169.0,2145.0,-1.9,1.0,2020.0,2.0,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,,3132828.0,8.8
December 2019 First Open Bidding Exercise,2019-12-04 00:00:00,2019,cat_a,33009.0,1030.0,1386.0,1013.0,4,12,1,2019-12-01 00:00:00,973101.0,321103.0,1.0,2020.0,7169.0,2145.0,-1.9,1.0,2020.0,2.0,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,,3132828.0,8.8
November 2019 Second Open Bidding Exercise,2019-11-20 00:00:00,2019,cat_a,32000.0,1023.0,1468.0,1012.0,4,11,15,2019-11-15 00:00:00,972224.0,321092.0,12.0,2019.0,7043.0,2143.0,-1.9,1.0,2020.0,2.0,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,3238.86,2855679.0,8.8
November 2019 First Open Bidding Exercise,2019-11-06 00:00:00,2019,cat_a,30000.0,1043.0,1302.0,1031.0,4,11,1,2019-11-01 00:00:00,972224.0,321092.0,12.0,2019.0,7043.0,2143.0,-1.9,1.0,2020.0,2.0,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,3229.43,2855679.0,8.8
October 2019 Second Open Bidding Exercise,2019-10-23 00:00:00,2019,cat_a,32309.0,1060.0,1467.0,1056.0,4,10,15,2019-10-15 00:00:00,971244.0,320788.0,11.0,2019.0,7077.0,2192.0,-1.9,1.0,2020.0,2.0,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,3116.17,2801262.0,8.8
October 2019 First Open Bidding Exercise,2019-10-09 00:00:00,2019,cat_a,34001.0,1057.0,1659.0,1033.0,4,10,1,2019-10-01 00:00:00,971244.0,320788.0,11.0,2019.0,7077.0,2192.0,-1.9,1.0,2020.0,2.0,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,3146.03,2801262.0,8.8
September 2019 Second Open Bidding Exercise,2019-09-18 00:00:00,2019,cat_a,31759.0,1056.0,1453.0,1053.0,3,9,15,2019-09-15 00:00:00,970344.0,320778.0,10.0,2019.0,6794.0,2146.0,-0.2,4.0,2020.0,1.0,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,,2682724.0,8.8
September 2019 First Open Bidding Exercise,2019-09-04 00:00:00,2019,cat_a,31783.0,1056.0,1656.0,1056.0,3,9,1,2019-09-01 00:00:00,970344.0,320778.0,10.0,2019.0,6794.0,2146.0,-0.2,4.0,2020.0,1.0,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,,2682724.0,8.8
August 2019 Second Open Bidding Exercise,2019-08-21 00:00:00,2019,cat_a,31917.0,1062.0,1725.0,1062.0,3,8,15,2019-08-15 00:00:00,968959.0,320357.0,9.0,2019.0,6944.0,2176.0,-0.2,4.0,2020.0,1.0,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,3126.09,2911530.0,8.8
August 2019 First Open Bidding Exercise,2019-08-07 00:00:00,2019,cat_a,32725.0,1059.0,2023.0,1059.0,3,8,1,2019-08-01 00:00:00,968959.0,320357.0,9.0,2019.0,6944.0,2176.0,-0.2,4.0,2020.0,1.0,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,3291.75,2911530.0,8.8
July 2019 Second Open Bidding Exercise,2019-07-17 00:00:00,2019,cat_a,26667.0,1623.0,1902.0,1617.0,3,7,15,2019-07-15 00:00:00,967768.0,320143.0,8.0,2019.0,8332.0,2450.0,-0.2,4.0,2020.0,1.0,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,3347.95,2853267.0,8.8
July 2019 First Open Bidding Exercise,2019-07-03 00:00:00,2019,cat_a,28589.0,1431.0,1795.0,1428.0,3,7,1,2019-07-01 00:00:00,967768.0,320143.0,8.0,2019.0,8332.0,2450.0,-0.2,4.0,2020.0,1.0,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,3372.26,2853267.0,8.8
June 2019 Second Open Bidding Exercise,2019-06-19 00:00:00,2019,cat_a,26999.0,1424.0,1742.0,1225.0,2,6,15,2019-06-15 00:00:00,965547.0,318935.0,7.0,2019.0,6931.0,2001.0,1.5,3.0,2019.0,4.0,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,,2834087.0,8.8
June 2019 First Open Bidding Exercise,2019-06-06 00:00:00,2019,cat_a,30009.0,1424.0,1902.0,1417.0,2,6,1,2019-06-01 00:00:00,965547.0,318935.0,7.0,2019.0,6931.0,2001.0,1.5,3.0,2019.0,4.0,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,,2834087.0,8.8
May 2019 Second Open Bidding Exercise,2019-05-23 00:00:00,2019,cat_a,27000.0,1475.0,1799.0,1475.0,2,5,15,2019-05-15 00:00:00,963335.0,317748.0,6.0,2019.0,7847.0,2316.0,1.5,3.0,2019.0,4.0,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,3218.77,2691345.0,8.8
May 2019 First Open Bidding Exercise,2019-05-08 00:00:00,2019,cat_a,36704.0,1431.0,1988.0,1431.0,2,5,1,2019-05-01 00:00:00,963335.0,317748.0,6.0,2019.0,7847.0,2316.0,1.5,3.0,2019.0,4.0,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,,2691345.0,8.8
April 2019 Second Open Bidding Exercise,2019-04-17 00:00:00,2019,cat_a,33199.0,1653.0,2249.0,1603.0,2,4,15,2019-04-15 00:00:00,961606.0,316497.0,5.0,2019.0,8636.0,2724.0,1.5,3.0,2019.0,4.0,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,3325.86,2700598.0,8.8
April 2019 First Open Bidding Exercise,2019-04-03 00:00:00,2019,cat_a,29159.0,1656.0,2338.0,1650.0,2,4,1,2019-04-01 00:00:00,961606.0,316497.0,5.0,2019.0,8636.0,2724.0,1.5,3.0,2019.0,4.0,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,3250.51,2700598.0,8.8
March 2019 Second Open Bidding Exercise,2019-03-20 00:00:00,2019,cat_a,26659.0,1650.0,2204.0,1647.0,1,3,15,2019-03-15 00:00:00,959864.0,315301.0,4.0,2019.0,10429.0,3477.0,3.8,2.0,2019.0,3.0,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,3200.18,2787741.0,8.8
March 2019 First Open Bidding Exercise,2019-03-06 00:00:00,2019,cat_a,26309.0,1659.0,2213.0,1653.0,1,3,1,2019-03-01 00:00:00,959864.0,315301.0,4.0,2019.0,10429.0,3477.0,3.8,2.0,2019.0,3.0,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,3220.4,2787741.0,8.8
February 2019 Second Open Bidding Exercise,2019-02-20 00:00:00,2019,cat_a,26301.0,1650.0,2261.0,1650.0,1,2,15,2019-02-15 00:00:00,959584.0,315205.0,3.0,2019.0,7168.0,2570.0,3.8,2.0,2019.0,3.0,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,3239.74,2522088.0,8.8
February 2019 First Open Bidding Exercise,2019-02-08 00:00:00,2019,cat_a,25689.0,1662.0,2371.0,1653.0,1,2,1,2019-02-01 00:00:00,959584.0,315205.0,3.0,2019.0,7168.0,2570.0,3.8,2.0,2019.0,3.0,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,3188.68,2522088.0,8.8
January 2019 Second Open Bidding Exercise,2019-01-23 00:00:00,2019,cat_a,26170.0,1818.0,2864.0,1818.0,1,1,15,2019-01-15 00:00:00,959468.0,315367.0,2.0,2019.0,9320.0,3438.0,3.8,2.0,2019.0,3.0,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,3212.3,2726368.0,8.8
January 2019 First Open Bidding Exercise,2019-01-09 00:00:00,2019,cat_a,25920.0,1815.0,2707.0,1804.0,1,1,1,2019-01-01 00:00:00,959468.0,315367.0,2.0,2019.0,9320.0,3438.0,3.8,2.0,2019.0,3.0,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,,2726368.0,8.8
December 2018 Second Open Bidding Exercise,2018-12-19 00:00:00,2018,cat_a,25501.0,1890.0,2729.0,1887.0,4,12,15,2018-12-15 00:00:00,957006.0,314694.0,1.0,2019.0,9344.0,3465.0,5.5,1.0,2019.0,2.0,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,,2980249.0,8.8
December 2018 First Open Bidding Exercise,2018-12-05 00:00:00,2018,cat_a,23568.0,1878.0,2177.0,1878.0,4,12,1,2018-12-01 00:00:00,957006.0,314694.0,1.0,2019.0,9344.0,3465.0,5.5,1.0,2019.0,2.0,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,,2980249.0,8.8
November 2018 Second Open Bidding Exercise,2018-11-21 00:00:00,2018,cat_a,25000.0,1818.0,2231.0,1744.0,4,11,15,2018-11-15 00:00:00,956428.0,315229.0,12.0,2018.0,9601.0,3872.0,5.5,1.0,2019.0,2.0,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3054.53,2717011.0,8.8
November 2018 First Open Bidding Exercise,2018-11-08 00:00:00,2018,cat_a,28199.0,1819.0,2849.0,1757.0,4,11,1,2018-11-01 00:00:00,956428.0,315229.0,12.0,2018.0,9601.0,3872.0,5.5,1.0,2019.0,2.0,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3060.85,2717011.0,8.8
October 2018 Second Open Bidding Exercise,2018-10-17 00:00:00,2018,cat_a,25556.0,1674.0,1811.0,1672.0,4,10,15,2018-10-15 00:00:00,956106.0,315863.0,11.0,2018.0,9726.0,3656.0,5.5,1.0,2019.0,2.0,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3045.97,2652749.0,8.8
October 2018 First Open Bidding Exercise,2018-10-03 00:00:00,2018,cat_a,28457.0,1668.0,2059.0,1665.0,4,10,1,2018-10-01 00:00:00,956106.0,315863.0,11.0,2018.0,9726.0,3656.0,5.5,1.0,2019.0,2.0,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3255.46,2652749.0,8.8
September 2018 Second Open Bidding Exercise,2018-09-19 00:00:00,2018,cat_a,28000.0,1664.0,2059.0,1655.0,3,9,15,2018-09-15 00:00:00,955956.0,316501.0,10.0,2018.0,9174.0,3886.0,9.9,4.0,2019.0,1.0,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,,2550670.0,8.8
September 2018 First Open Bidding Exercise,2018-09-05 00:00:00,2018,cat_a,30209.0,1664.0,2488.0,1661.0,3,9,1,2018-09-01 00:00:00,955956.0,316501.0,10.0,2018.0,9174.0,3886.0,9.9,4.0,2019.0,1.0,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,,2550670.0,8.8
