bidding_exercise,date_x,year,category,premium,quota,total_bids_received,number_of_successful_bids,quarter,month,day,new_date,total_motor_veh,cat_a,month_lag_x,year_lag_x,total_motor_veh_dereg,cat_a_dereg,date_y,month_lag_y,year_lag_y,gdp,year_lag,quarter_lag,year_lag2,quarter_lag2,total_pop,pop_density,total_pop_growth,average_income,median_income,average_employed_income,median_employed_income,close,day_lag,month_lag,air_departures,birth_rate
November 2021 Second Open Bidding Exercise,2021-11-17 00:00:00,2021,cat_a,55001.0,537.0,706.0,535.0,4,11,15,2021-11-15 00:00:00,987450.0,321252.0,11,2021,4119.0,1243.0,2021-10-01,11,2021,23.1,2021,3,2021,4,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,3105.3540000000003,15,11,131402.0,8.5
November 2021 First Open Bidding Exercise,2021-11-03 00:00:00,2021,cat_a,53709.0,536.0,834.0,531.0,4,11,1,2021-11-01 00:00:00,987450.0,321252.0,11,2021,4119.0,1243.0,2021-10-01,11,2021,23.1,2021,3,2021,4,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,3196.8227272727277,1,11,131402.0,8.5
October 2021 Second Open Bidding Exercise,2021-10-20 00:00:00,2021,cat_a,52709.0,811.0,1304.0,806.0,4,10,15,2021-10-15 00:00:00,986873.0,321025.0,10,2021,3920.0,1039.0,2021-09-01,10,2021,23.1,2021,3,2021,4,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,3086.4260000000004,15,10,113378.0,8.5
October 2021 First Open Bidding Exercise,2021-10-06 00:00:00,2021,cat_a,47001.0,816.0,1077.0,812.0,4,10,1,2021-10-01 00:00:00,986873.0,321025.0,10,2021,3920.0,1039.0,2021-09-01,10,2021,23.1,2021,3,2021,4,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,3068.679166666667,1,10,113378.0,8.5
September 2021 Second Open Bidding Exercise,2021-09-22 00:00:00,2021,cat_a,48000.0,803.0,1040.0,795.0,3,9,15,2021-09-15 00:00:00,984972.0,320580.0,9,2021,4266.0,1256.0,2021-08-01,9,2021,2.5,2021,2,2021,3,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,3175.7,15,9,111014.0,8.5
September 2021 First Open Bidding Exercise,2021-09-08 00:00:00,2021,cat_a,47000.0,804.0,1124.0,790.0,3,9,1,2021-09-01 00:00:00,984972.0,320580.0,9,2021,4266.0,1256.0,2021-08-01,9,2021,2.5,2021,2,2021,3,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,3102.9341666666664,1,9,111014.0,8.5
August 2021 Second Open Bidding Exercise,2021-08-18 00:00:00,2021,cat_a,46689.0,806.0,1127.0,806.0,3,8,15,2021-08-15 00:00:00,983843.0,320585.0,8,2021,4125.0,1249.0,2021-07-01,8,2021,2.5,2021,2,2021,3,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,3143.2439999999997,15,8,105118.0,8.5
August 2021 First Open Bidding Exercise,2021-08-04 00:00:00,2021,cat_a,45189.0,805.0,1021.0,804.0,3,8,1,2021-08-01 00:00:00,983843.0,320585.0,8,2021,4125.0,1249.0,2021-07-01,8,2021,2.5,2021,2,2021,3,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,3145.988181818182,1,8,105118.0,8.5
July 2021 Second Open Bidding Exercise,2021-07-22 00:00:00,2021,cat_a,47010.0,836.0,1240.0,832.0,3,7,15,2021-07-15 00:00:00,982459.0,320236.0,7,2021,5344.0,1864.0,2021-06-01,7,2021,2.5,2021,2,2021,3,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,3163.434,15,7,99250.0,8.5
July 2021 First Open Bidding Exercise,2021-07-07 00:00:00,2021,cat_a,45001.0,867.0,1149.0,864.0,3,7,1,2021-07-01 00:00:00,982459.0,320236.0,7,2021,5344.0,1864.0,2021-06-01,7,2021,2.5,2021,2,2021,3,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,3127.554166666667,1,7,99250.0,8.5
June 2021 Second Open Bidding Exercise,2021-06-23 00:00:00,2021,cat_a,47821.0,830.0,1178.0,823.0,2,6,15,2021-06-15 00:00:00,981549.0,320168.0,6,2021,5457.0,1872.0,2021-05-01,6,2021,-4.4,2021,1,2021,2,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,3155.077777777778,15,6,95254.0,8.5
June 2021 First Open Bidding Exercise,2021-06-09 00:00:00,2021,cat_a,48510.0,858.0,1439.0,820.0,2,6,1,2021-06-01 00:00:00,981549.0,320168.0,6,2021,5457.0,1872.0,2021-05-01,6,2021,-4.4,2021,1,2021,2,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,3133.1580000000004,1,6,95254.0,8.5
May 2021 Second Open Bidding Exercise,2021-05-19 00:00:00,2021,cat_a,41801.0,835.0,1209.0,834.0,2,5,15,2021-05-15 00:00:00,981553.0,320521.0,5,2021,4926.0,1607.0,2021-04-01,5,2021,-4.4,2021,1,2021,2,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,3189.6633333333334,15,5,86579.0,8.5
May 2021 First Open Bidding Exercise,2021-05-05 00:00:00,2021,cat_a,48002.0,832.0,1100.0,803.0,2,5,1,2021-05-01 00:00:00,981553.0,320521.0,5,2021,4926.0,1607.0,2021-04-01,5,2021,-4.4,2021,1,2021,2,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,3200.3366666666666,1,5,86579.0,8.5
April 2021 Second Open Bidding Exercise,2021-04-21 00:00:00,2021,cat_a,49640.0,890.0,1290.0,883.0,2,4,15,2021-04-15 00:00:00,980293.0,320445.0,4,2021,6055.0,1918.0,2021-03-01,4,2021,-4.4,2021,1,2021,2,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,3043.651,15,4,83568.0,8.5
April 2021 First Open Bidding Exercise,2021-04-07 00:00:00,2021,cat_a,45600.0,883.0,1212.0,880.0,2,4,1,2021-04-01 00:00:00,980293.0,320445.0,4,2021,6055.0,1918.0,2021-03-01,4,2021,-4.4,2021,1,2021,2,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,3139.8423076923073,1,4,83568.0,8.5
March 2021 Second Open Bidding Exercise,2021-03-17 00:00:00,2021,cat_a,44589.0,886.0,1186.0,879.0,1,3,15,2021-03-15 00:00:00,978479.0,320475.0,3,2021,4315.0,1268.0,2021-02-01,3,2021,-8.5,2020,4,2021,1,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,2919.0844444444447,15,3,58669.0,8.5
March 2021 First Open Bidding Exercise,2021-03-03 00:00:00,2021,cat_a,41996.0,887.0,1175.0,887.0,1,3,1,2021-03-01 00:00:00,978479.0,320475.0,3,2021,4315.0,1268.0,2021-02-01,3,2021,-8.5,2020,4,2021,1,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,2919.585,1,3,58669.0,8.5
February 2021 Second Open Bidding Exercise,2021-02-17 00:00:00,2021,cat_a,41001.0,903.0,1226.0,900.0,1,2,15,2021-02-15 00:00:00,977157.0,320206.0,2,2021,4706.0,1383.0,2021-01-01,2,2021,-8.5,2020,4,2021,1,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,2935.5922222222225,15,2,71487.0,8.5
February 2021 First Open Bidding Exercise,2021-02-03 00:00:00,2021,cat_a,42000.0,885.0,1098.0,881.0,1,2,1,2021-02-01 00:00:00,977157.0,320206.0,2,2021,4706.0,1383.0,2021-01-01,2,2021,-8.5,2020,4,2021,1,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,2972.6600000000003,1,2,71487.0,8.5
January 2021 Second Open Bidding Exercise,2021-01-20 00:00:00,2021,cat_a,40609.0,963.0,1280.0,962.0,1,1,15,2021-01-15 00:00:00,973990.0,319137.0,1,2021,5021.0,1425.0,2020-12-01,1,2021,-8.5,2020,4,2021,1,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,2828.6310000000003,15,1,76350.0,8.5
January 2021 First Open Bidding Exercise,2021-01-06 00:00:00,2021,cat_a,40609.0,963.0,1280.0,962.0,1,1,1,2021-01-01 00:00:00,973990.0,319137.0,1,2021,5021.0,1425.0,2020-12-01,1,2021,-8.5,2020,4,2021,1,5685807.0,7810.0,-0.3,9634.0,6810.0,11111.0,8092.0,2848.9258333333332,1,1,76350.0,8.5
December 2020 Second Open Bidding Exercise,2020-12-23 00:00:00,2020,cat_a,40556.0,969.0,1403.0,966.0,4,12,15,2020-12-15 00:00:00,972859.0,319271.0,12,2020,4972.0,1506.0,2020-11-01,12,2020,-15.0,2020,3,2020,4,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,2607.456,15,12,60232.0,8.8
December 2020 First Open Bidding Exercise,2020-12-09 00:00:00,2020,cat_a,40714.0,978.0,1620.0,978.0,4,12,1,2020-12-01 00:00:00,972859.0,319271.0,12,2020,4972.0,1506.0,2020-11-01,12,2020,-15.0,2020,3,2020,4,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,2821.3054545454547,1,12,60232.0,8.8
November 2020 Second Open Bidding Exercise,2020-11-18 00:00:00,2020,cat_a,37690.0,972.0,1361.0,966.0,4,11,15,2020-11-15 00:00:00,971021.0,318958.0,11,2020,5027.0,1518.0,2020-10-01,11,2020,-15.0,2020,3,2020,4,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,2533.343,15,11,56006.0,8.8
November 2020 First Open Bidding Exercise,2020-11-04 00:00:00,2020,cat_a,35990.0,967.0,1262.0,952.0,4,11,1,2020-11-01 00:00:00,971021.0,318958.0,11,2020,5027.0,1518.0,2020-10-01,11,2020,-15.0,2020,3,2020,4,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,2509.5366666666664,1,11,56006.0,8.8
October 2020 Second Open Bidding Exercise,2020-10-21 00:00:00,2020,cat_a,37334.0,916.0,1323.0,907.0,4,10,15,2020-10-15 00:00:00,969189.0,318385.0,10,2020,5264.0,1537.0,2020-09-01,10,2020,-15.0,2020,3,2020,4,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,2509.995,15,10,54703.0,8.8
October 2020 First Open Bidding Exercise,2020-10-07 00:00:00,2020,cat_a,36534.0,912.0,1272.0,907.0,4,10,1,2020-10-01 00:00:00,969189.0,318385.0,10,2020,5264.0,1537.0,2020-09-01,10,2020,-15.0,2020,3,2020,4,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,2480.329166666667,1,10,54703.0,8.8
September 2020 Second Open Bidding Exercise,2020-09-23 00:00:00,2020,cat_a,38504.0,1034.0,1540.0,1031.0,3,9,15,2020-09-15 00:00:00,967575.0,317944.0,9,2020,5617.0,1750.0,2020-08-01,9,2020,-0.3,2020,2,2020,3,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,2546.95,15,9,51371.0,8.8
September 2020 First Open Bidding Exercise,2020-09-09 00:00:00,2020,cat_a,37766.0,1035.0,1737.0,1035.0,3,9,1,2020-09-01 00:00:00,967575.0,317944.0,9,2020,5617.0,1750.0,2020-08-01,9,2020,-0.3,2020,2,2020,3,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,2543.9827272727275,1,9,51371.0,8.8
August 2020 Second Open Bidding Exercise,2020-08-19 00:00:00,2020,cat_a,35710.0,1034.0,2099.0,1019.0,3,8,15,2020-08-15 00:00:00,965705.0,317417.0,8,2020,5379.0,1697.0,2020-07-01,8,2020,-0.3,2020,2,2020,3,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,2647.137777777778,15,8,51415.0,8.8
August 2020 First Open Bidding Exercise,2020-08-05 00:00:00,2020,cat_a,33000.0,1022.0,2047.0,1007.0,3,8,1,2020-08-01 00:00:00,965705.0,317417.0,8,2020,5379.0,1697.0,2020-07-01,8,2020,-0.3,2020,2,2020,3,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,2598.7683333333334,1,8,51415.0,8.8
July 2020 Second Open Bidding Exercise,2020-07-22 00:00:00,2020,cat_a,32699.0,1304.0,2485.0,1290.0,3,7,15,2020-07-15 00:00:00,964299.0,317205.0,7,2020,5095.0,1756.0,2020-06-01,7,2020,-0.3,2020,2,2020,3,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,2710.213,15,7,34190.0,8.8
July 2020 First Open Bidding Exercise,2020-07-08 00:00:00,2020,cat_a,33520.0,1289.0,3061.0,1286.0,3,7,1,2020-07-01 00:00:00,964299.0,317205.0,7,2020,5095.0,1756.0,2020-06-01,7,2020,-0.3,2020,2,2020,3,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,2625.228333333333,1,7,34190.0,8.8
March 2020 Second Open Bidding Exercise,2020-03-18 00:00:00,2020,cat_a,31210.0,982.0,1421.0,962.0,1,3,15,2020-03-15 00:00:00,974205.0,321274.0,3,2020,6240.0,1778.0,2020-02-01,3,2020,-0.2,2019,4,2020,1,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,3188.825,15,3,1718033.0,8.8
March 2020 First Open Bidding Exercise,2020-03-04 00:00:00,2020,cat_a,32699.0,978.0,1436.0,973.0,1,3,1,2020-03-01 00:00:00,974205.0,321274.0,3,2020,6240.0,1778.0,2020-02-01,3,2020,-0.2,2019,4,2020,1,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,3154.379,1,3,1718033.0,8.8
February 2020 Second Open Bidding Exercise,2020-02-19 00:00:00,2020,cat_a,32999.0,982.0,1564.0,973.0,1,2,15,2020-02-15 00:00:00,973534.0,321024.0,2,2020,6749.0,2239.0,2020-01-01,2,2020,-0.2,2019,4,2020,1,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,3247.6077777777778,15,2,2893053.0,8.8
February 2020 First Open Bidding Exercise,2020-02-05 00:00:00,2020,cat_a,30010.0,982.0,1204.0,977.0,1,2,1,2020-02-01 00:00:00,973534.0,321024.0,2,2020,6749.0,2239.0,2020-01-01,2,2020,-0.2,2019,4,2020,1,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,3230.0008333333335,1,2,2893053.0,8.8
January 2020 Second Open Bidding Exercise,2020-01-22 00:00:00,2020,cat_a,35010.0,1034.0,1390.0,1025.0,1,1,15,2020-01-15 00:00:00,973101.0,321103.0,1,2020,7169.0,2145.0,2019-12-01,1,2020,-0.2,2019,4,2020,1,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,3181.407,15,1,3132828.0,8.8
January 2020 First Open Bidding Exercise,2020-01-08 00:00:00,2020,cat_a,35320.0,1035.0,1450.0,1026.0,1,1,1,2020-01-01 00:00:00,973101.0,321103.0,1,2020,7169.0,2145.0,2019-12-01,1,2020,-0.2,2019,4,2020,1,5703569.0,7866.0,1.2,9763.0,7000.0,11250.0,8333.0,3215.1545454545453,1,1,3132828.0,8.8
December 2019 Second Open Bidding Exercise,2019-12-18 00:00:00,2019,cat_a,32889.0,1029.0,1256.0,1013.0,4,12,15,2019-12-15 00:00:00,972224.0,321092.0,12,2019,7043.0,2143.0,2019-11-01,12,2019,1.5,2019,3,2019,4,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3250.669,15,12,2855679.0,8.8
December 2019 First Open Bidding Exercise,2019-12-04 00:00:00,2019,cat_a,33009.0,1030.0,1386.0,1013.0,4,12,1,2019-12-01 00:00:00,972224.0,321092.0,12,2019,7043.0,2143.0,2019-11-01,12,2019,1.5,2019,3,2019,4,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3220.2336363636364,1,12,2855679.0,8.8
November 2019 Second Open Bidding Exercise,2019-11-20 00:00:00,2019,cat_a,32000.0,1023.0,1468.0,1012.0,4,11,15,2019-11-15 00:00:00,971244.0,320788.0,11,2019,7077.0,2192.0,2019-10-01,11,2019,1.5,2019,3,2019,4,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3104.394,15,11,2801262.0,8.8
November 2019 First Open Bidding Exercise,2019-11-06 00:00:00,2019,cat_a,30000.0,1043.0,1302.0,1031.0,4,11,1,2019-11-01 00:00:00,971244.0,320788.0,11,2019,7077.0,2192.0,2019-10-01,11,2019,1.5,2019,3,2019,4,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3160.376666666667,1,11,2801262.0,8.8
October 2019 Second Open Bidding Exercise,2019-10-23 00:00:00,2019,cat_a,32309.0,1060.0,1467.0,1056.0,4,10,15,2019-10-15 00:00:00,970344.0,320778.0,10,2019,6794.0,2146.0,2019-09-01,10,2019,1.5,2019,3,2019,4,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3150.871,15,10,2682724.0,8.8
October 2019 First Open Bidding Exercise,2019-10-09 00:00:00,2019,cat_a,34001.0,1057.0,1659.0,1033.0,4,10,1,2019-10-01 00:00:00,970344.0,320778.0,10,2019,6794.0,2146.0,2019-09-01,10,2019,1.5,2019,3,2019,4,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3151.6545454545453,1,10,2682724.0,8.8
September 2019 Second Open Bidding Exercise,2019-09-18 00:00:00,2019,cat_a,31759.0,1056.0,1453.0,1053.0,3,9,15,2019-09-15 00:00:00,968959.0,320357.0,9,2019,6944.0,2176.0,2019-08-01,9,2019,3.8,2019,2,2019,3,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3195.725,15,9,2911530.0,8.8
September 2019 First Open Bidding Exercise,2019-09-04 00:00:00,2019,cat_a,31783.0,1056.0,1656.0,1056.0,3,9,1,2019-09-01 00:00:00,968959.0,320357.0,9,2019,6944.0,2176.0,2019-08-01,9,2019,3.8,2019,2,2019,3,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3103.6541666666667,1,9,2911530.0,8.8
August 2019 Second Open Bidding Exercise,2019-08-21 00:00:00,2019,cat_a,31917.0,1062.0,1725.0,1062.0,3,8,15,2019-08-15 00:00:00,967768.0,320143.0,8,2019,8332.0,2450.0,2019-07-01,8,2019,3.8,2019,2,2019,3,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3356.182,15,8,2853267.0,8.8
August 2019 First Open Bidding Exercise,2019-08-07 00:00:00,2019,cat_a,32725.0,1059.0,2023.0,1059.0,3,8,1,2019-08-01 00:00:00,967768.0,320143.0,8,2019,8332.0,2450.0,2019-07-01,8,2019,3.8,2019,2,2019,3,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3357.95,1,8,2853267.0,8.8
July 2019 Second Open Bidding Exercise,2019-07-17 00:00:00,2019,cat_a,26667.0,1623.0,1902.0,1617.0,3,7,15,2019-07-15 00:00:00,965547.0,318935.0,7,2019,6931.0,2001.0,2019-06-01,7,2019,3.8,2019,2,2019,3,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3180.78,15,7,2834087.0,8.8
July 2019 First Open Bidding Exercise,2019-07-03 00:00:00,2019,cat_a,28589.0,1431.0,1795.0,1428.0,3,7,1,2019-07-01 00:00:00,965547.0,318935.0,7,2019,6931.0,2001.0,2019-06-01,7,2019,3.8,2019,2,2019,3,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3293.8059999999996,1,7,2834087.0,8.8
June 2019 Second Open Bidding Exercise,2019-06-19 00:00:00,2019,cat_a,26999.0,1424.0,1742.0,1225.0,2,6,15,2019-06-15 00:00:00,963335.0,317748.0,6,2019,7847.0,2316.0,2019-05-01,6,2019,5.5,2019,1,2019,2,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3297.087777777778,15,6,2691345.0,8.8
June 2019 First Open Bidding Exercise,2019-06-06 00:00:00,2019,cat_a,30009.0,1424.0,1902.0,1417.0,2,6,1,2019-06-01 00:00:00,963335.0,317748.0,6,2019,7847.0,2316.0,2019-05-01,6,2019,5.5,2019,1,2019,2,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3175.9691666666663,1,6,2691345.0,8.8
May 2019 Second Open Bidding Exercise,2019-05-23 00:00:00,2019,cat_a,27000.0,1475.0,1799.0,1475.0,2,5,15,2019-05-15 00:00:00,961606.0,316497.0,5,2019,8636.0,2724.0,2019-04-01,5,2019,5.5,2019,1,2019,2,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3311.1879999999996,15,5,2700598.0,8.8
May 2019 First Open Bidding Exercise,2019-05-08 00:00:00,2019,cat_a,36704.0,1431.0,1988.0,1431.0,2,5,1,2019-05-01 00:00:00,961606.0,316497.0,5,2019,8636.0,2724.0,2019-04-01,5,2019,5.5,2019,1,2019,2,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3358.379090909091,1,5,2700598.0,8.8
April 2019 Second Open Bidding Exercise,2019-04-17 00:00:00,2019,cat_a,33199.0,1653.0,2249.0,1603.0,2,4,15,2019-04-15 00:00:00,959864.0,315301.0,4,2019,10429.0,3477.0,2019-03-01,4,2019,5.5,2019,1,2019,2,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3215.092,15,4,2787741.0,8.8
April 2019 First Open Bidding Exercise,2019-04-03 00:00:00,2019,cat_a,29159.0,1656.0,2338.0,1650.0,2,4,1,2019-04-01 00:00:00,959864.0,315301.0,4,2019,10429.0,3477.0,2019-03-01,4,2019,5.5,2019,1,2019,2,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3205.956363636363,1,4,2787741.0,8.8
March 2019 Second Open Bidding Exercise,2019-03-20 00:00:00,2019,cat_a,26659.0,1650.0,2204.0,1647.0,1,3,15,2019-03-15 00:00:00,959584.0,315205.0,3,2019,7168.0,2570.0,2019-02-01,3,2019,9.9,2018,4,2019,1,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3210.15875,15,3,2522088.0,8.8
March 2019 First Open Bidding Exercise,2019-03-06 00:00:00,2019,cat_a,26309.0,1659.0,2213.0,1653.0,1,3,1,2019-03-01 00:00:00,959584.0,315205.0,3,2019,7168.0,2570.0,2019-02-01,3,2019,9.9,2018,4,2019,1,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3258.8419999999996,1,3,2522088.0,8.8
February 2019 Second Open Bidding Exercise,2019-02-20 00:00:00,2019,cat_a,26301.0,1650.0,2261.0,1650.0,1,2,15,2019-02-15 00:00:00,959468.0,315367.0,2,2019,9320.0,3438.0,2019-01-01,2,2019,9.9,2018,4,2019,1,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3116.7144444444443,15,2,2726368.0,8.8
February 2019 First Open Bidding Exercise,2019-02-08 00:00:00,2019,cat_a,25689.0,1662.0,2371.0,1653.0,1,2,1,2019-02-01 00:00:00,959468.0,315367.0,2,2019,9320.0,3438.0,2019-01-01,2,2019,9.9,2018,4,2019,1,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3200.7146153846156,1,2,2726368.0,8.8
January 2019 Second Open Bidding Exercise,2019-01-23 00:00:00,2019,cat_a,26170.0,1818.0,2864.0,1818.0,1,1,15,2019-01-15 00:00:00,957006.0,314694.0,1,2019,9344.0,3465.0,2018-12-01,1,2019,9.9,2018,4,2019,1,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3116.085,15,1,2980249.0,8.8
